Date,pr,prpercnt,hurs,spei12,tas,tasmin,tasmax,cdd,cwd,Year,Month,sd,rolling_pr_3y,rolling_pr_2y,rolling_pr_1y,tas_range
2068-11-16,240.79433,81.70346,82.271736,0.06945387,28.17672,25.581596,30.771843,1.37302669552669,29.16371693121692,2068,11,30.0,7991.18581,5311.92718,2741.23565,5.190246999999999
2068-12-16,369.1294,116.9195,83.19401,0.34284306,28.087158,25.711737,30.462584,0.7308429533429514,29.276796536796528,2068,12,30.99861111111111,8060.76525,5306.58828,2812.83133,4.750847
2069-01-16,264.97363,109.06128,83.06014,0.3238697,27.91464,25.57651,30.25277,1.2484800384800347,24.431631794131786,2069,1,31.0,8138.74112,5342.277779999999,2804.99656,4.676260000000003
2069-02-16,180.35185,99.955605,81.45419,0.54238826,28.041916,25.577414,30.506418,2.5589874939874884,22.115793650793645,2069,2,28.0,8083.85135,5447.4276899999995,2862.18219,4.929003999999999
2069-03-16,199.13728,100.49402,80.88264,0.6135995,28.531916,25.917486,31.146345,3.8142279942279855,18.87472222222222,2069,3,31.0,8071.71072,5489.983429999999,2892.21324,5.228859
2069-04-16,152.27069,79.55799,79.986885,0.43546832,28.956741,26.103926,31.809555,2.4666726791726736,20.335158730158728,2069,4,30.0,8066.0401,5431.53862,2840.60351,5.705628999999998
2069-05-16,264.2769,119.654564,82.47737,0.5127575,28.89695,26.311195,31.482704,0.6671945646945602,29.30252525252525,2069,5,31.0,8088.43915,5509.15212,2863.9919099999997,5.171508999999997
2069-06-16,197.30646,109.74775,80.614555,0.59894854,28.81849,26.058863,31.578115,3.9086075036075,25.45423881673881,2069,6,30.0,8127.12745,5547.07698,2889.42711,5.519252000000002
2069-07-16,217.00769,122.86381,81.93862,0.7456992,28.413664,25.78515,31.042175,0.6163961038960996,29.113856421356413,2069,7,31.0,8178.41633,5604.97851,2923.01248,5.257024999999999
2069-08-16,291.38538,140.93279,82.208015,0.9688371,28.208853,25.54809,30.869614,1.3275276575276505,27.08728234728234,2069,8,31.0,8265.06593,5681.7267,2980.12392,5.321524
2069-09-16,278.4684,119.73297,81.83591,1.0332634,28.526855,25.795965,31.257746,1.4019203944203935,25.746978114478114,2069,9,30.0,8350.09895,5722.34482,3012.22471,5.461781000000002
2069-10-16,331.10416,118.09515,82.42051,0.9308665,27.92758,25.355103,30.500055,0.195515873015868,30.706031746031734,2069,10,31.0,8429.58682,5822.26526,2986.20617,5.144952
2069-11-16,324.9103,105.81777,83.18289,1.2124935,27.636023,25.175821,30.09622,0.237481962481956,29.75111111111111,2069,11,29.99861111111111,8382.24932,5811.55779,3070.3221399999998,4.920399
2069-12-16,344.74796,111.05206,83.55775,1.188069,26.863152,24.600725,29.12558,1.5284175084175,30.29968253968253,2069,12,30.997222222222224,8352.52898,5858.772029999999,3045.9407,4.524854999999999
2070-01-16,297.26947,123.4425,84.39075,1.3359104,27.012314,24.78582,29.23881,0.8402525252525231,25.042609427609424,2070,1,30.98472222222222,8420.51432,5883.2330999999995,3078.23654,4.45299
