Year,Month,pr,tas,hurs,tasmax,tasmin
1986,1,192.51883,26.418709,82.760376,28.112698,24.724718
1986,2,74.6052,26.698277,80.205284,28.5258,24.87075
1986,3,100.5881,27.169758,80.33121,29.09598,25.243536
1986,4,114.70784,27.411997,80.20728,29.47962,25.344376
1986,5,171.00383,27.603945,81.39062,29.544363,25.66353
1986,6,202.04488,27.496725,81.79161,29.510342,25.48311
1986,7,252.41473,26.918592,82.40052,28.875355,24.961832
1986,8,201.58778,27.04231,81.00199,28.990396,25.094225
1986,9,228.61478,27.04272,81.97226,29.028408,25.057035
1986,10,302.31204,26.83006,82.80667,28.781038,24.87908
1986,11,310.086,25.96319,83.98098,27.75712,24.16926
1986,12,278.7544,25.517965,84.63465,27.14849,23.88744
1987,1,231.34207,25.634382,85.015076,27.22846,24.040302
1987,2,112.89565,25.336565,80.81927,27.08168,23.591454
1987,3,173.60371,26.307804,83.41826,28.072294,24.543314
1987,4,154.79552,26.425175,82.28711,28.32126,24.529085
1987,5,179.10007,27.031965,82.26624,29.006699,25.057234
1987,6,156.2114,26.955303,81.37333,28.969095,24.941511
1987,7,131.70007,26.912334,79.909096,29.013388,24.811281
1987,8,164.62054,26.635332,80.78528,28.672663,24.598003
1987,9,251.97966,26.303024,82.432335,28.25747,24.34858
1987,10,251.44058,26.407883,82.59851,28.34069,24.475075
1987,11,331.97452,25.944363,83.71056,27.769318,24.11941
1987,12,295.66888,25.610924,85.06679,27.26012,23.96173
1988,1,333.3889,25.261105,85.17983,26.809158,23.713053
1988,2,175.79602,25.203945,84.413536,26.848495,23.559399
1988,3,115.4754,26.161198,82.14931,27.990767,24.33163
1988,4,115.55608,26.660982,80.489204,28.65192,24.67005
1988,5,161.53537,27.116653,81.854004,29.124487,25.108822
